title,author,rating
The Power Of Darkness,Edith Nesbit,1.5
The great god Pan,Arthur Machen,3.6
Carrie,Stephen King,4.0
Misery,Stephen King,4.1
Carmilla,Joseph Sheridan Le Fanu,3.9
Dracula,Bram Stoker,4.0
The Phantom of the Opera,Gaston Leroux,3.9
'Salem's lot,Stephen King,4.0
Strange case of Dr. Jekyll and Mr. Hyde: with other fables and the misadventures of John Nicholson,Robert Louis Stevenson,3.9
Brood of the Witch-queen,Sax Rohmer,4.5
The King in Yellow,Robert W. Chambers,4.1
The Castle of Otranto,Horace Walpole,3.1
Frankenstein,Mary Shelley,3.9
Northanger Abbey,Jane Austen,3.9
The Invisible Man,H. G. Wells,3.8
Twilight,Stephenie Meyer,3.6
The Picture of Dorian Gray,Oscar Wilde,4.1
The Magician's Nephew,C.S. Lewis,4.0
The legend of Sleepy Hollow,Washington Irving,4.2
Daisy Miller,Henry James,3.0
The Island of Doctor Moreau,H. G. Wells,3.7
Fahrenheit 451,Ray Bradbury,4.0
The Subtle Knife,Philip Pullman,4.0
The Turn of the Screw,Henry James,3.3
The Hobbit,J.R.R. Tolkien,4.3
Northern Lights: His Dark Materials,Philip Pullman,4.0
A Christmas carol,Charles Dickens,4.0
The Shining,Stephen King,4.2
It,Stephen King,4.1
The Dark Tower: The Gunslinger,Stephen King,4.2
The Green Mile,Stephen King,4.3
Pet Sematary,Stephen King,4.0
Frankenstein: 1818 Text,Mary Shelley,3.4
New Moon,Stephenie Meyer,4.1
The Dead Zone,Stephen King,4.2
The House of the Seven Gables,Nathaniel Hawthorne,3.4
Breaking Dawn,Stephenie Meyer,3.5
The Stand,Stephen King,4.3
Coraline,Neil Gaiman,4.0
Cujo,Stephen King,3.8
The Exorcist,William Peter Blatty,4.0
The Amber Spyglass,Philip Pullman,3.8
Firestarter,Stephen King,3.9
The Illustrated Man,Ray Bradbury,4.1
The Dark Tower: The drawing of the three,Stephen King,4.2
Percy Jackson and the Lightning Thief,Rick Riordan,4.3
Interview With the Vampire,Anne Rice,3.9
Herland,Charlotte Perkins Gilman,3.3
Bag of Bones,Stephen King,4.0
Flowers in the Attic,V. C. Andrews,4.0
Skeleton Crew,Stephen King,4.3
The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins,3.0
Wizard and Glass,Stephen King,4.1
The Waste Lands: The Dark Tower III,Stephen King,4.2
The Girl Who Loved Tom Gordon,Stephen King,3.8
On Writing,Stephen King,4.2
The Haunted Bookshop,Christopher Morley,4.0
Witch Wood,John Buchan,3.6
The haunting of Hill House,Shirley Jackson,4.0
Needful Things,Stephen King,4.1
The Eyes of the Dragon,Stephen King,4.4
Four Past Midnight,Stephen King,3.9
Night Shift,Stephen King,4.5
Christine,Stephen King,4.0
The Road,Cormac McCarthy,3.8
The Empty House and Other Ghost Stories,Algernon Blackwood,5.0
The Magician,William Somerset Maugham,3.5
Cell: A Novel,Stephen King,3.7
Stuart Little,E. B. White,3.4
The Dark Half,Stephen King,3.8
Day of the Triffids,John Wyndham,4.1
Thinner,Stephen King,3.6
Tales of Terror and Mystery,Arthur Conan Doyle,
Everything's Eventual: 14 Dark Tales,Stephen King,3.8
Petals on the wind,V. C. Andrews,3.9
Something Wicked This Way Comes,Ray Bradbury,4.1
Different Seasons,Stephen King,4.6
The complete poetical works of Percy Bysshe Shelley.,Percy Bysshe Shelley,4.0
The Tommyknockers,Stephen King,4.2
Red Dragon,Thomas Harris,4.3
Insomnia,Stephen King,3.9
Jaws,Peter Benchley,4.4
The Silence of the Lambs,Thomas Harris,4.2
Gerald's Game,Stephen King,3.7
Rose Madder,Stephen King,4.1
Desperation,Stephen King,4.4
From a Buick 8,Stephen King,3.5
Dreamcatcher,Stephen King,3.5
