id,title,author,rating
1,American Psycho,Bret Easton Ellis,3.81
2,1984,George Orwell,4.2
3,Lord of the Flies,William Golding,3.7
4,A Clockwork Orange,Anthony Burgess,
5,Lolita,Vladimir Nabokov,3.87
6,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13
7,The Holy Bible: King James Version,Anonymous,4.44
8,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.14
9,The Road,Cormac McCarthy,3.99
10,Brave New World,Aldous Huxley,3.99
11,It,Stephen        King,4.24
12,Gone Girl,Gillian Flynn,4.14
13,The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,4.17
14,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85
15,The Zombie Room,R.D. Ronald,3.82
16,A Story of Yesterday,Sergio Cobo,4.55
17,Perfume: The Story of a Murderer,Patrick Süskind,4.04
18,Animal Farm,George Orwell,
19,We Need to Talk About Kevin,Lionel Shriver,4.08
20,Misery,Stephen        King,4.23
21,Night,Elie Wiesel,4.38
22,Haunted,Chuck Palahniuk,3.6
23,Sharp Objects,Gillian Flynn,4.01
24,"The Shining (The Shining, #1)",Stephen        King,4.28
25,The Elephant Tree,R.D. Ronald,3.78
26,Fahrenheit 451,Ray Bradbury,3.96
27,The Lovely Bones,Alice Sebold,3.86
28,The Metamorphosis,Franz Kafka,3.89
29,In Cold Blood,Truman Capote,4.09
30,Shutter Island,Dennis Lehane,4.13
31,Room,Emma Donoghue,4.08
32,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34
33,The Wasp Factory,Iain Banks,3.76
34,The Diary of a Young Girl,Anne Frank,4.2
35,Local Woman Missing,Mary Kubica,4.13
36,Dark Places,Gillian Flynn,3.95
37,Pet Sematary,Stephen        King,4.07
38,House of Leaves,Mark Z. Danielewski,4.09
39,Hidden Pictures,Jason Rekulak,4.16
40,Fight Club,Chuck Palahniuk,4.18
41,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16
42,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4.06
43,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.06
44,Never Let Me Go,Kazuo Ishiguro,3.85
45,The Kite Runner,Khaled Hosseini,4.35
46,The Exorcist,William Peter Blatty,4.2
47,Pretty Girls,Karin Slaughter,4.03
48,The Girl Next Door,Jack Ketchum,3.93
49,No Exit,Taylor  Adams,3.99
50,A Flicker in the Dark,Stacy Willingham,3.99
51,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.25
52,The Last Thing He Told Me,Laura Dave,3.83
53,Final Girls,Riley Sager,3.83
54,Of Mice and Men,John Steinbeck,3.89
55,Then She Was Gone,Lisa Jewell,4.05
56,Behind Closed Doors,B.A. Paris,3.98
57,The 120 Days of Sodom,Marquis de Sade,3.08
58,The Only One Left,Riley Sager,4.14
59,"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.2
60,The Couple Next Door,Shari Lapena,3.81
61,Johnny Got His Gun,Dalton Trumbo,4.2
62,The Yellow Wall-Paper,Charlotte Perkins Gilman,4.08
63,Home Before Dark,Riley Sager,4.06
64,Requiem for a Dream,Hubert Selby Jr.,4.11
65,Go Ask Alice,Beatrice Sparks,3.74
66,Carrie,Stephen        King,3.99
67,Gray After Dark,Noelle W. Ihli,4.24
68,Battle Royale,Koushun Takami,4.26
69,"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.11
70,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2
71,Blindness,José Saramago,4.18
72,"The Giver (The Giver, #1)",Lois Lowry,4.12
73,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,3.99
74,The Roommate,Kiersten Modglin,3.85
75,Those Empty Eyes,Charlie Donlea,4.17
76,The Boy in the Striped Pajamas,John Boyne,4.16
77,Push,Sapphire,3.87
78,"Think Twice (Myron Bolitar, #12)",Harlan Coben,4.27
79,The Girl Who Played With Fire (Millennium #2),Stieg Larsson,4.26
80,The Club,Ellery Lloyd,3.29
81,What Lies in the Woods,Kate Alice Marshall,3.95
82,Naked Lunch,William S. Burroughs,3.46
83,Ask for Andrea,Noelle W. Ihli,4.09
84,No One Can Know,Kate Alice Marshall,3.67
85,The Shards,Bret Easton Ellis,
86,"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.97
87,The Collector,John Fowles,3.97
88,"Not Forever, But For Now",Chuck Palahniuk,3.08
89,Look Closer,David Ellis,4.19
90,Wuthering Heights,Emily Brontë,3.9
91,The Color Purple,Alice Walker,4.27
92,The Long Walk,Richard  Bachman,4.07
93,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.75
94,"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,3.94
95,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88
96,The Girl Who Was Taken,Charlie Donlea,4.19
97,The Stranger,Albert Camus,4.03
98,Head Like a Hole,Andrew Van Wey,3.86
99,Geek Love,Katherine Dunn,3.95
100,Invisible Monsters,Chuck Palahniuk,
101,Crime and Punishment,Fyodor Dostoevsky,4.28
102,"Consequences (Consequences, #1)",Aleatha Romig,3.92
103,Keep It in the Family,John Marrs,4.08
104,The Drowning Woman,Robyn Harding,4.05
105,The Catcher in the Rye,J.D. Salinger,3.8
106,Gerald's Game,Stephen        King,3.58
107,"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,4.04
108,"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,
109,"Corrupt (Devil's Night, #1)",Penelope Douglas,3.8
110,A Winter Grave,Peter  May,4.07
111,"Souls Unfractured (Hades Hangmen, #3)",Tillie Cole,4.41
112,Big Little Lies,Liane Moriarty,4.31
113,"The Girl in the Eagle's Talons (Millennium, #7)",Karin Smirnoff,3.43
114,"Truth (Consequences, #2)",Aleatha Romig,4.34
115,"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,4.08
116,Mystic River,Dennis Lehane,4.17
117,"Unwind (Unwind, #1)",Neal Shusterman,4.17
118,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.1
119,The Painted Bird,Jerzy Kosiński,3.91
120,"You (You, #1)",Caroline Kepnes,3.96
121,None of This Is True,Lisa Jewell,4.1
122,Before I Go to Sleep,S.J. Watson,3.9
123,Lock Every Door,Riley Sager,3.89
124,The Girl on the Train,Paula Hawkins,3.96
125,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66
126,Let the Right One In,John Ajvide Lindqvist,4.04
127,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.22
128,"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,3.73
129,Coming Out Straight: Understanding and Healing Homosexuality,Richard Cohen,1.99
130,Never Lie,Freida McFadden,4.09
131,The Woman in the Window,A.J. Finn,3.95
132,Exquisite Corpse,Poppy Z. Brite,3.79
133,The Paris Apartment,Lucy Foley,3.65
134,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.96
135,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,4.14
136,A Thousand Splendid Suns,Khaled Hosseini,4.44
