title,author,rating
American Psycho,Bret Easton Ellis,3.81
1984,George Orwell,4.2
Lord of the Flies,William Golding,3.7
A Clockwork Orange,Anthony Burgess,
Lolita,Vladimir Nabokov,3.87
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13
The Holy Bible: King James Version,Anonymous,4.44
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.14
The Road,Cormac McCarthy,3.99
Brave New World,Aldous Huxley,3.99
It,Stephen        King,4.24
Gone Girl,Gillian Flynn,4.14
The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,4.17
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85
The Zombie Room,R.D. Ronald,3.82
A Story of Yesterday,Sergio Cobo,4.55
Perfume: The Story of a Murderer,Patrick Süskind,4.04
Animal Farm,George Orwell,
We Need to Talk About Kevin,Lionel Shriver,4.08
Misery,Stephen        King,4.23
Night,Elie Wiesel,4.38
Haunted,Chuck Palahniuk,3.6
Sharp Objects,Gillian Flynn,4.01
"The Shining (The Shining, #1)",Stephen        King,4.28
The Elephant Tree,R.D. Ronald,3.78
Fahrenheit 451,Ray Bradbury,3.96
The Lovely Bones,Alice Sebold,3.86
The Metamorphosis,Franz Kafka,3.89
In Cold Blood,Truman Capote,4.09
Shutter Island,Dennis Lehane,4.13
Room,Emma Donoghue,4.08
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34
The Wasp Factory,Iain Banks,3.76
The Diary of a Young Girl,Anne Frank,4.2
Local Woman Missing,Mary Kubica,4.13
Dark Places,Gillian Flynn,3.95
Pet Sematary,Stephen        King,4.07
House of Leaves,Mark Z. Danielewski,4.09
Hidden Pictures,Jason Rekulak,4.16
Fight Club,Chuck Palahniuk,4.18
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4.06
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.06
Never Let Me Go,Kazuo Ishiguro,3.85
The Kite Runner,Khaled Hosseini,4.35
The Exorcist,William Peter Blatty,4.2
Pretty Girls,Karin Slaughter,4.03
The Girl Next Door,Jack Ketchum,3.93
No Exit,Taylor  Adams,3.99
A Flicker in the Dark,Stacy Willingham,3.99
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.25
The Last Thing He Told Me,Laura Dave,3.83
Final Girls,Riley Sager,3.83
Of Mice and Men,John Steinbeck,3.89
Then She Was Gone,Lisa Jewell,4.05
Behind Closed Doors,B.A. Paris,3.98
The 120 Days of Sodom,Marquis de Sade,3.08
The Only One Left,Riley Sager,4.14
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.2
